司,:,一,亅,一,口,,,
伺,:,⺅,司,,,,,
志,:,士,心,,,,,
刺,:,木,冂,⺉,,,,
枝,:,木,十,又,,,,
脂,:,月,匕,日,,,,
詞,:,言,司,,,,,
誌,:,言,士,心,,,,
寺,:,土,寸,,,,,
児,:,｜,日,儿,,,,
湿,:,⺡,日,｜,｜,丷,一,
捨,:,⺘,𠆢,舌,,,,
授,:,⺘,爪,冖,又,,,
州,:,川,丶,丶,丶,,,
周,:,冂,土,口,,,,
拾,:,⺘,𠆢,一,口,,,
修,:,⺅,｜,攵,彡,,,
柔,:,木,矛,,,,,
祝,:,⺭,儿,口,,,,
述,:,⻌,木,丶,,,,
純,:,糸,屯,,,,,
順,:,川,頁,,,,,
準,:,⺡,隹,十,,,,
署,:,⺲,⺹,日,,,,
諸,:,言,⺹,日,,,,
召,:,刀,口,,,,,
床,:,广,木,,,,,
承,:,手,丶,ノ,,,,
昇,:,日,ノ,廾,,,,
将,:,爿,爪,寸,,,,
章,:,立,早,,,,,
紹,:,糸,刀,口,,,,
焼,:,火,十,十,十,儿,,
象,:,勹,口,豕,,,,
照,:,日,刀,口,⺣,,,
賞,:,⺌,冖,口,貝,,,
条,:,夂,木,,,,,
城,:,土,成,,,,,
畳,:,田,冖,目,一,,,
蒸,:,⺾,一,水,一,⺣,,
植,:,木,直,,,,,
触,:,虫,角,,,,,
伸,:,⺅,申,,,,,
針,:,金,十,,,,,
震,:,雨,辰,,,,,
姓,:,女,生,,,,,
星,:,日,生,,,,,
省,:,少,目,,,,,
清,:,⺡,青,,,,,
勢,:,土,儿,土,丸,力,,
整,:,束,攵,正,,,,
税,:,禾,丷,兄,,,,
績,:,糸,責,,,,,
接,:,⺘,立,女,,,,
設,:,言,殳,,,,,
節,:,竹,艮,卩,,,,
占,:,卜,口,,,,,
専,:,十,田,寸,,,,
泉,:,白,水,,,,,
浅,:,⺡,二,戈,,,,
線,:,糸,白,水,,,,
善,:,羊,丷,一,口,,,
双,:,又,又,,,,,
捜,:,⺘,申,又,,,,
掃,:,⺘,ヨ,冖,巾,,,
装,:,爿,士,衣,,,,
層,:,尸,丷,田,日,,,
総,:,糸,ハ,厶,心,,,
操,:,⺘,品,木,,,,
燥,:,火,品,木,,,,
造,:,⻌,告,,,,,
像,:,⺅,勹,口,豕,,,
憎,:,⺖,丷,田,日,,,
